# Value of energy0.111376
# number of periods40
# number of steps40
1.03333 -0.791236 0.0442586
1.035 -0.791815 0.0428754
1.03667 -0.79239 0.041492
1.03833 -0.79296 0.0401082
1.04 -0.793525 0.0387242
1.04167 -0.794086 0.03734
1.04333 -0.794643 0.0359555
1.045 -0.795195 0.0345707
1.04667 -0.795743 0.0331857
1.04833 -0.796287 0.0318005
1.05 -0.796826 0.0304151
1.05167 -0.797361 0.0290295
1.05333 -0.797891 0.0276436
1.055 -0.798417 0.0262576
1.05667 -0.798939 0.0248714
1.05833 -0.799456 0.023485
1.06 -0.799969 0.0220984
1.06167 -0.800478 0.0207117
1.06333 -0.800982 0.0193248
1.065 -0.801482 0.0179378
1.06667 -0.801978 0.0165507
1.06833 -0.802469 0.0151634
1.07 -0.802956 0.0137759
1.07167 -0.803439 0.0123884
1.07333 -0.803917 0.0110008
1.075 -0.804391 0.00961303
1.07667 -0.804861 0.0082252
1.07833 -0.805326 0.00683728
1.08 -0.805787 0.00544929
1.08167 -0.806244 0.00406122
1.08333 -0.806697 0.0026731
1.085 -0.807145 0.00128492
1.08667 -0.807589 -0.000103311
1.08833 -0.808029 -0.00149158
1.09 -0.808464 -0.00287988
1.09167 -0.808895 -0.0042682
1.09333 -0.809322 -0.00565655
1.095 -0.809745 -0.0070449
1.09667 -0.810163 -0.00843326
1.09833 -0.810577 -0.00982161
1.1 -0.810987 -0.0112099
1.10167 -0.811393 -0.0125983
1.10333 -0.811794 -0.0139866
1.105 -0.812191 -0.0153748
1.10667 -0.812584 -0.0167631
1.10833 -0.812973 -0.0181512
1.11 -0.813358 -0.0195393
1.11167 -0.813738 -0.0209274
1.11333 -0.814114 -0.0223154
1.115 -0.814486 -0.0237033
1.11667 -0.814854 -0.0250911
1.11833 -0.815217 -0.0264789
1.12 -0.815576 -0.0278665
1.12167 -0.815932 -0.0292541
1.12333 -0.816283 -0.0306415
1.125 -0.816629 -0.0320288
1.12667 -0.816972 -0.033416
1.12833 -0.81731 -0.034803
1.13 -0.817645 -0.03619
1.13167 -0.817975 -0.0375767
1.13333 -0.818301 -0.0389633
1.135 -0.818623 -0.0403498
1.13667 -0.81894 -0.0417361
1.13833 -0.819254 -0.0431222
1.14 -0.819563 -0.0445082
1.14167 -0.819869 -0.0458939
1.14333 -0.82017 -0.0472795
1.145 -0.820467 -0.0486648
1.14667 -0.82076 -0.05005
1.14833 -0.821048 -0.0514349
1.15 -0.821333 -0.0528197
1.15167 -0.821614 -0.0542042
1.15333 -0.82189 -0.0555884
1.155 -0.822162 -0.0569725
1.15667 -0.822431 -0.0583562
1.15833 -0.822695 -0.0597398
1.16 -0.822955 -0.061123
1.16167 -0.823211 -0.062506
1.16333 -0.823463 -0.0638888
1.165 -0.823711 -0.0652712
1.16667 -0.823954 -0.0666534
1.16833 -0.824194 -0.0680353
1.17 -0.82443 -0.0694168
1.17167 -0.824661 -0.0707981
1.17333 -0.824889 -0.0721791
1.175 -0.825112 -0.0735597
1.17667 -0.825332 -0.07494
1.17833 -0.825547 -0.07632
1.18 -0.825758 -0.0776997
1.18167 -0.825966 -0.079079
1.18333 -0.826169 -0.0804579
1.185 -0.826368 -0.0818366
1.18667 -0.826563 -0.0832148
1.18833 -0.826754 -0.0845927
1.19 -0.826942 -0.0859702
1.19167 -0.827125 -0.0873473
1.19333 -0.827304 -0.088724
1.195 -0.827479 -0.0901004
1.19667 -0.82765 -0.0914763
1.19833 -0.827817 -0.0928519
1.2 -0.82798 -0.094227
1.20167 -0.828139 -0.0956017
1.20333 -0.828295 -0.096976
1.205 -0.828446 -0.0983498
1.20667 -0.828593 -0.0997233
1.20833 -0.828736 -0.101096
1.21 -0.828875 -0.102469
1.21167 -0.829011 -0.103841
1.21333 -0.829142 -0.105212
1.215 -0.829269 -0.106584
1.21667 -0.829393 -0.107954
1.21833 -0.829512 -0.109324
1.22 -0.829628 -0.110694
1.22167 -0.829739 -0.112063
1.22333 -0.829847 -0.113432
1.225 -0.82995 -0.1148
1.22667 -0.83005 -0.116168
1.22833 -0.830146 -0.117535
1.23 -0.830238 -0.118902
1.23167 -0.830325 -0.120268
1.23333 -0.830409 -0.121634
1.235 -0.83049 -0.122999
1.23667 -0.830566 -0.124363
1.23833 -0.830638 -0.125727
1.24 -0.830706 -0.127091
1.24167 -0.830771 -0.128454
1.24333 -0.830831 -0.129816
1.245 -0.830888 -0.131178
1.24667 -0.830941 -0.132539
1.24833 -0.830989 -0.133899
1.25 -0.831034 -0.135259
1.25167 -0.831075 -0.136619
1.25333 -0.831113 -0.137978
1.255 -0.831146 -0.139336
1.25667 -0.831175 -0.140693
